"analysis_id","gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"MYH11_OE","LILRA6",2.3767872929673e-17,-1.64807470067626,7.27875866441615e-18,0.999999997847373,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","GRIK3",2.3726478991793e-17,-1.648211028967,7.25342748588685e-18,0.999999997851122,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AC244502.1",2.36079358592945e-17,-1.64860266513721,7.18112885082896e-18,0.999999997861859,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","MYL4",2.35100466687538e-17,-1.64892744102225,7.12169989355472e-18,0.999999997870724,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ZNF536",2.34902711974313e-17,-1.64899320389883,7.10972409934721e-18,0.999999997872515,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","KANK4",2.34788186726628e-17,-1.64903131245124,7.10279319235798e-18,0.999999997873553,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ADGRG3",2.32345268426368e-17,-1.64984832590527,6.95575620332793e-18,0.999999997895678,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AL606500.1",2.3229801174639e-17,-1.64986420878714,6.95292703000843e-18,0.999999997896106,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CSRP3",2.30430534099462e-17,-1.65049427202159,6.84158519092835e-18,0.999999997913019,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","COLEC10",2.30387171304341e-17,-1.65050895816982,6.83901051180306e-18,0.999999997913412,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LRRN1",2.28392783871766e-17,-1.65118720028905,6.72111679774178e-18,0.999999997931475,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","SLC26A7",2.28138149272696e-17,-1.65127418969737,6.7061384361841e-18,0.999999997933781,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","C6orf223",2.26193222910273e-17,-1.6519416056221,6.59228331348167e-18,0.999999997951396,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","RBM20",2.24689762697683e-17,-1.65246118055253,6.50493943496963e-18,0.999999997965013,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CDH19",2.23803396458096e-17,-1.65276900675383,6.45371871066932e-18,0.99999999797304,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","FAM155B",2.21725496128744e-17,-1.65349508932585,6.33443606271147e-18,0.99999999799186,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","MTUS2-AS1",2.21668055712753e-17,-1.65351525013769,6.33115447787923e-18,0.99999999799238,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","DEFB1",2.2112527497619e-17,-1.65370599804492,6.30018726046479e-18,0.999999997997296,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","GATA2",2.20102256309141e-17,-1.65406669620021,6.24202746803248e-18,0.999999998006561,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","FABP4",2.18093365729918e-17,-1.65477953513583,6.12860450131266e-18,0.999999998024755,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","PLAC4",2.14994621558304e-17,-1.65589111192093,5.95568716101992e-18,0.99999999805282,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LRRC39",2.13635328095351e-17,-1.65638340352263,5.88061612182644e-18,0.999999998065131,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ANK3",2.12594353341305e-17,-1.65676237544748,5.82344712483664e-18,0.999999998074559,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","FCRLA",2.10897637981437e-17,-1.65738377126573,5.73086420368489e-18,0.999999998089926,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CA9",2.08933226268292e-17,-1.65810901522704,5.62460083873325e-18,0.999999998107718,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
