"to_vertex","from_vertex","NA","from_UMAP_1","from_UMAP_2","to_UMAP_1","to_UMAP_2"
"Y_750","Y_270",1,2.68912974142458,-2.78581201673913,2.91856840849857,-2.90513327975342
"Y_750","Y_159",1,2.99957390830083,-3.142734850064,2.91856840849857,-2.90513327975342
"Y_290","Y_269",1,-0.154462636116085,-12.7669064368301,-0.628358257751964,-12.6618936036605
"Y_275","Y_267",1,-1.29270299033447,-12.6396173445861,-1.38510545618144,-12.7121447646125
"Y_275","Y_263",1,-1.49700250857167,-12.7204634439463,-1.38510545618144,-12.7121447646125
"Y_422","Y_265",1,8.36139472506893,-2.78389233530038,8.47816271182921,-2.91661034251946
"Y_498","Y_15",1,-1.82442015177391,-12.6502694245337,-1.74326633451148,-12.7218032301203
"Y_498","Y_261",1,-1.63027690499127,-12.7509610500752,-1.74326633451148,-12.7218032301203
"Y_263","Y_261",1,-1.63027690499127,-12.7509610500752,-1.49700250857167,-12.7204634439463
"Y_263","Y_69",1,-1.4974206153273,-12.6180034744568,-1.49700250857167,-12.7204634439463
"Y_311","Y_258",1,-6.81525752468627,0.607387581967976,-6.62622079013109,0.796384351091365
"Y_281","Y_258",1,-6.81525752468627,0.607387581967976,-6.95833498470782,0.352008371434704
"Y_840","Y_256",1,1.78203017583097,6.30316459042052,1.66260140325338,6.50059542919691
"Y_840","Y_195",1,1.72351668264572,6.68585282649465,1.66260140325338,6.50059542919691
"Y_649","Y_240",1,2.03282159656539,5.8438245182495,1.97042040011304,6.11238113158909
"Y_649","Y_256",1,1.78203017583097,6.30316459042052,1.97042040011304,6.11238113158909
"Y_284","Y_255",1,-2.18130756507636,-12.2595999517654,-2.0777089430083,-12.3569494009366
"Y_284","Y_42",1,-1.88664713988655,-12.3941120272238,-2.0777089430083,-12.3569494009366
"Y_268","Y_255",1,-2.18130756507636,-12.2595999517654,-2.25095876743948,-12.110063517971
"Y_662","Y_254",1,0.664278667078981,-5.55073428234435,0.866571051492621,-5.56564662241474
"Y_662","Y_250",1,1.23602049609474,-5.39959755170983,0.866571051492621,-5.56564662241474
"Y_264","Y_253",1,4.65227557166886,-2.04984813693445,4.7185270042393,-2.00591301076574
"Y_264","Y_245",1,4.8360171659357,-2.00168582835965,4.7185270042393,-2.00591301076574
"Y_253","Y_252",1,4.60881417074574,-2.13160364789184,4.65227557166886,-2.04984813693445
"Y_561","Y_251",1,5.98412509430673,-4.26141189525254,6.13514355278836,-4.31396656960219
"Y_561","Y_25",1,6.30795110826738,-4.3657961584466,6.13514355278836,-4.31396656960219
"Y_326","Y_249",1,10.1393061049536,-2.54995230584718,10.0964009347296,-2.40884415755546
"Y_300","Y_249",1,10.1393061049536,-2.54995230584718,10.2752871968898,-2.65273273890429
"Y_383","Y_248",1,9.64358531872697,-3.27978381252362,9.65232932985908,-3.46782122447514
"Y_383","Y_239",1,9.5154446959601,-3.62058151898536,9.65232932985908,-3.46782122447514
"Y_262","Y_248",1,9.64358531872697,-3.27978381252362,9.78060961860548,-3.21566401758223
"Y_434","Y_247",1,-1.9369308093771,-11.1843156886795,-1.74668349510652,-11.1700145065456
"Y_260","Y_247",1,-1.9369308093771,-11.1843156886795,-1.82844826130222,-11.4476322953429
"Y_866","Y_246",1,-1.86843448163821,10.8219007395239,-1.99159353147833,10.7540566825762
"Y_298","Y_243",1,5.85696603543959,-5.51365848816501,5.9603475593771,-5.64152276580029
"Y_257","Y_243",1,5.85696603543959,-5.51365848816501,5.6966716681874,-5.46519187256806
"Y_257","Y_43",1,5.67297865871779,-5.29040307427003,5.6966716681874,-5.46519187256806
"Y_251","Y_242",1,5.82948618718665,-4.28512485501115,5.98412509430673,-4.26141189525254
"Y_335","Y_241",1,8.62770181042541,-4.17199756555089,8.38173233136205,-4.18531953733883
"Y_286","Y_241",1,8.62770181042541,-4.17199756555089,8.83467755367656,-4.09800437568831
"Y_755","Y_240",1,2.03282159656539,5.8438245182495,1.79947340899034,5.67284037823699
"Y_755","Y_95",1,1.90056477353171,5.44423162441271,1.79947340899034,5.67284037823699
"Y_696","Y_238",1,7.60001507484289,-7.35185522904082,7.46410097379264,-7.24521310131777
"Y_696","Y_234",1,7.27473699002619,-7.24487326642697,7.46410097379264,-7.24521310131777
"Y_696","Y_115",1,7.51670763926192,-7.13290450993402,7.46410097379264,-7.24521310131777
"Y_454","Y_237",1,2.26807498689874,4.1139968794671,2.08730978557423,4.23760812485164
"Y_315","Y_236",1,6.71495836158189,-2.60758887086501,6.53536726411309,-2.6715306764976
"Y_315","Y_207",1,6.53396409681132,-2.86665171002501,6.53536726411309,-2.6715306764976
"Y_563","Y_235",1,3.25449811568607,7.59883305696462,3.33424019043988,7.32289928660157
"Y_235","Y_233",1,3.18841737001188,7.86013443053948,3.25449811568607,7.59883305696462
"Y_853","Y_46",1,3.01691434969556,7.95398419467784,2.79695038769293,7.93669424425647
"Y_853","Y_232",1,2.63130274701792,7.90642829499314,2.79695038769293,7.93669424425647
"Y_826","Y_208",1,9.03031983101587,-2.00520604511438,9.29608624449389,-2.01551458250423
"Y_826","Y_231",1,9.26911928310912,-1.74545698399517,9.29608624449389,-2.01551458250423
"Y_350","Y_24",1,9.57910911344946,-1.51814665006964,9.477486807474,-1.75059117069036
"Y_350","Y_231",1,9.26911928310912,-1.74545698399517,9.477486807474,-1.75059117069036
"Y_658","Y_230",1,-6.96868282539409,3.27548413647607,-6.97348602516972,3.01667743934191
"Y_285","Y_70",1,-7.20506485298441,3.65836168033535,-7.06082087478432,3.49157560807074
"Y_285","Y_230",1,-6.96868282539409,3.27548413647607,-7.06082087478432,3.49157560807074
"Y_304","Y_229",1,-7.82756682154012,3.68193274538945,-7.87241971450534,3.40706290891388
"Y_842","Y_225",1,-8.48453440675373,1.47142333492681,-8.37091414052663,1.23369051647312
"Y_842","Y_204",1,-8.48344486057766,1.0024061700957,-8.37091414052663,1.23369051647312
"Y_523","Y_224",1,1.7304942027632,6.97547804953804,1.84588724371969,7.07451246248413
"Y_523","Y_63",1,2.02713812287545,7.14963284701206,1.84588724371969,7.07451246248413
