"sample_id","malignant_state_cluster","malignant_state_label","gene","cell_number","percent_expressed","mean_log_normalized_expression"
"scB13","4","Basal_epithelial","MYH11",121,0,0
"scB13","4","Basal_epithelial","SASH1",121,4.96,0.0565994426413151
"scB14","1","Basal_epithelial","COL1A1",1,100,0.191011310968011
"scB14","1","Basal_epithelial","EMP1",1,0,0
"scB14","1","Basal_epithelial","MYH11",1,0,0
"scB14","1","Basal_epithelial","SASH1",1,100,0.191011310968011
"scB14","4","Basal_epithelial","COL1A1",31,77.42,0.351488798495944
"scB14","4","Basal_epithelial","EMP1",31,64.52,0.366625311815576
"scB14","4","Basal_epithelial","MYH11",31,12.9,0.0467679315001976
"scB14","4","Basal_epithelial","SASH1",31,64.52,0.1879816339412
"scB14","5","Basal_epithelial","COL1A1",3,100,0.344935595010725
"scB14","5","Basal_epithelial","EMP1",3,100,0.111436592808399
"scB14","5","Basal_epithelial","MYH11",3,0,0
"scB14","5","Basal_epithelial","SASH1",3,100,0.37670926061314
"scB15","4","Basal_epithelial","COL1A1",5,100,0.474674494907194
"scB15","4","Basal_epithelial","EMP1",5,100,0.730696500644096
"scB15","4","Basal_epithelial","MYH11",5,20,0.192825509143645
"scB15","4","Basal_epithelial","SASH1",5,40,0.212510292926568
